ATR,RSI,ADX,Capital,Trades
3.0,45,20,2169.2973174047925,280
1.5,45,25,2150.905595480161,266
3.0,45,15,2090.4478456942707,304
1.5,30,20,2071.1067934340213,240
3.0,45,25,2058.6958873344283,254
3.0,40,20,2050.668028210803,264
2.0,40,30,2041.481324713491,206
3.0,45,10,2037.8974192442683,320
1.5,30,15,2033.3411142810237,258
3.0,35,20,2014.9807583974386,234
1.5,35,20,1997.2480238914172,256
1.5,45,30,1990.4745590225602,220
3.0,40,15,1987.4383751137143,276
1.5,30,10,1984.7918452163772,266
2.0,45,30,1980.5671082492117,224
1.5,35,15,1968.2197971508767,274
1.5,40,15,1966.960405270049,300
3.0,45,30,1964.917323001974,216
3.0,40,10,1946.2249481578456,282
2.0,45,25,1941.8326893625137,264
2.5,30,15,1940.7198539695341,230
2.5,45,30,1932.5823014924085,222
2.5,40,30,1932.265941641935,200
1.5,45,15,1931.5679198623664,338
3.0,30,20,1929.5712973389245,214
2.5,30,20,1922.8839834218659,228
1.5,40,20,1922.8502973451955,282
1.5,35,10,1919.2472775923486,282
2.5,45,25,1917.138727424263,260
3.0,40,30,1913.7630087738473,196
1.5,45,20,1910.3144358395748,306
2.0,40,25,1907.4073702366263,248
3.0,50,30,1907.0336285436958,250
2.5,30,10,1906.9630267474333,232
2.5,45,15,1906.6492141588174,310
3.0,35,15,1905.8734500425169,242
1.5,30,30,1903.5372046762989,178
3.0,35,10,1897.2319077048635,242
1.5,30,25,1896.9501934652362,210
1.5,40,10,1881.9020742216944,310
1.5,35,30,1879.9498627476428,184
2.5,40,25,1878.360741039327,240
2.5,35,30,1875.3354383309177,180
1.5,50,30,1875.2813775972606,254
3.0,35,30,1874.6599078925703,174
2.5,45,20,1870.675136467225,292
3.0,30,15,1867.4542551108157,218
2.5,45,10,1867.3139937385001,326
2.5,30,30,1866.4429222380656,174
2.0,30,15,1859.8517588085313,244
2.0,30,20,1856.649979802133,236
3.0,30,30,1852.437998127548,170
3.0,50,10,1851.5835798611042,386
1.5,40,30,1851.2763826752687,204
3.0,50,15,1851.1746735205625,358
2.0,30,10,1845.4196304443021,250
1.5,45,10,1842.3816296800928,354
3.0,30,10,1839.7874363325996,220
2.5,40,15,1839.5235056278862,284
2.5,30,25,1839.4414348338842,204
3.0,55,15,1837.8235328490882,398
1.5,55,15,1835.757151525606,436
2.5,35,20,1835.0582836180722,246
2.5,35,15,1822.3654383621433,252
2.0,30,30,1821.1514888771608,180
2.0,35,30,1820.844878566161,186
2.0,45,15,1820.0109788145362,328
3.0,40,25,1819.755005669767,232
3.0,50,20,1818.0725365712615,330
2.0,45,20,1816.6565033433133,302
2.5,50,30,1815.2493610448785,252
2.5,35,10,1811.1205943131736,252
2.5,40,20,1810.9607824253287,276
2.0,35,20,1810.270208604819,256
1.5,55,20,1804.0727102377577,390
2.5,40,10,1799.3332538730697,288
2.0,35,15,1799.2452630930159,266
1.5,50,25,1796.1550677638643,308
2.0,50,30,1794.7179036780592,262
1.5,40,25,1792.9591361538787,242
3.0,50,25,1784.0057020181107,298
2.5,35,25,1783.2667452363933,216
2.0,35,10,1779.4900326721167,274
2.0,45,10,1775.7414836376042,342
2.0,40,15,1773.0984851842554,298
2.5,50,10,1767.1785775427604,386
1.5,35,25,1764.7063247856079,222
2.0,40,20,1763.0083596748889,286
3.0,55,20,1757.7983917862628,356
2.0,30,25,1754.8694471615472,210
2.5,50,15,1754.048571705091,360
3.0,55,10,1750.2995844738396,432
2.5,55,15,1749.6811883668634,408
1.5,50,20,1740.4199298473072,350
1.5,55,10,1732.8706636059442,466
3.0,30,25,1732.7229073529172,200
1.5,60,15,1730.7358323907551,462
2.0,40,10,1723.5114516309109,308
1.5,55,25,1721.9996677793486,350
3.0,35,25,1719.9251973347402,208
2.5,50,25,1701.9777610988485,300
2.0,55,15,1695.4384438704342,424
2.5,50,20,1689.3523317932204,338
2.5,55,20,1680.3958023733855,368
1.5,50,15,1678.235790503372,388
2.5,55,10,1674.9121253952999,436
3.0,60,15,1672.5802418626167,434
1.5,60,20,1671.0660860842263,414
3.0,55,25,1663.9533478961005,324
2.0,35,25,1656.3586268537429,224
1.5,60,10,1655.792145957208,490
1.5,55,30,1650.1021409354112,296
3.0,55,30,1647.7401679406105,280
2.0,50,25,1639.6769184720802,314
2.0,55,25,1636.7149929919146,342
2.0,60,15,1634.1919977076357,458
1.5,60,25,1633.382634881428,382
2.0,55,20,1631.4348274405477,382
1.5,50,10,1625.7015619612391,412
2.5,60,15,1618.566844278273,442
2.0,55,30,1615.8897020362283,292
2.0,55,10,1613.2939709533675,446
3.0,60,20,1612.690203498515,390
3.0,60,25,1604.7060292625129,358
3.0,60,10,1602.4482174991388,458
2.5,55,25,1597.301019414988,334
2.5,60,20,1581.73839326595,398
2.5,55,30,1579.420189562188,284
2.0,60,20,1579.140208963701,412
2.0,50,15,1571.9228756015486,382
2.0,50,20,1571.8582355936658,358
2.0,60,25,1565.3715927600435,380
2.0,50,10,1565.2415364110616,400
2.0,60,10,1562.828650025002,484
2.5,60,25,1556.2931651547844,366
2.5,60,10,1553.1524696077815,466
2.0,60,30,1460.4713001702382,324
3.0,60,30,1455.6809720278925,312
1.5,60,30,1451.1412878654387,326
2.5,60,30,1423.572488191124,316
